2018-06-04T00:31:43+07:00 ERR (3): error-router-no-match	54.36.148.77	Mozilla/5.0 (compatible; AhrefsBot/5.2; +http://ahrefs.com/robot/)		GET	http://lifedeco.vn/comments/feed/
2018-06-04T01:27:08+07:00 ERR (3): error-router-no-match	216.244.66.234	Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)		GET	http://lifedeco.vn/robots.txt
2018-06-04T01:28:27+07:00 ERR (3): error-router-no-match	216.244.66.234	Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)		GET	http://lifedeco.vn/nhung-luu-y-khi-su-dung-cac-loai-vat-lieu-trong-xay-dung/feed/
2018-06-04T01:28:49+07:00 ERR (3): error-router-no-match	216.244.66.234	Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)		GET	http://lifedeco.vn/category/can-ho-chung-cu/
2018-06-04T01:28:52+07:00 ERR (3): error-router-no-match	216.244.66.234	Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)		GET	http://lifedeco.vn/tag/showroom-hien-dai/
2018-06-04T01:46:00+07:00 ERR (3): error-router-no-match	54.36.149.70	Mozilla/5.0 (compatible; AhrefsBot/5.2; +http://ahrefs.com/robot/)		GET	http://lifedeco.vn/tag/biet-thu-dep/feed/
2018-06-04T02:16:52+07:00 ERR (3): error-router-no-match	216.244.66.234	Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)		GET	http://lifedeco.vn/robots.txt
2018-06-04T02:19:22+07:00 ERR (3): error-router-no-match	216.244.66.234	Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)		GET	http://lifedeco.vn/2017/04/26/
2018-06-04T04:11:03+07:00 ERR (3): error-router-no-match	95.163.255.96	Mozilla/5.0 (compatible; Linux x86_64; Mail.RU_Bot/2.0; +http://go.mail.ru/help/robots)		GET	http://lifedeco.vn/robots.txt
2018-06-04T06:13:39+07:00 ERR (3): error-router-no-match	216.244.66.234	Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)		GET	http://lifedeco.vn/robots.txt
2018-06-04T06:14:29+07:00 ERR (3): error-router-no-match	216.244.66.234	Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)		GET	http://lifedeco.vn/kien-truc-nha-pho-hien-dai/feed/
2018-06-04T07:03:25+07:00 ERR (3): error-router-no-match	27.79.167.227	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.62 Safari/537.36	http://hoangkhaigroup.com/Thiet-ke-phong-khach-nha-pho-theo-phong-cach-co-dien-vi-27-27-1.html	GET	http://lifedeco.vn/images/favico.gif
2018-06-04T08:06:06+07:00 ERR (3): error-router-no-match	14.231.90.234	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.62 Safari/537.36	http://hoangkhaigroup.com/Thiet-ke-phong-khach-nha-pho-theo-phong-cach-co-dien-vi-27-27-1.html	GET	http://lifedeco.vn/images/favico.gif
2018-06-04T08:24:12+07:00 ERR (3): error-router-no-match	66.249.79.64	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)		GET	http://lifedeco.vn/robots.txt
2018-06-04T08:24:13+07:00 ERR (3): error-router-no-match	66.249.79.64	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)		GET	http://lifedeco.vn/nha-pho-khu-dan-cu-phong-phu-5/feed/
