2018-06-05T00:01:51+07:00 ERR (3): error-router-no-match	173.252.123.186	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534+ (KHTML, like Gecko) BingPreview/1.0b	http://lifedeco.vn/	GET	http://lifedeco.vn/css/font-style-2.css
2018-06-05T01:03:53+07:00 ERR (3): error-router-no-match	66.249.77.24	Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	http://lifedeco.vn/y-tuong-moi-cho-can-ho-chung-cu-an-tuong/	GET	http://lifedeco.vn/wp-content/themes/lifedeco/core/assets/css/animate.css?ver=5.1.3
2018-06-05T01:03:53+07:00 ERR (3): error-router-no-match	66.249.77.22	Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	http://lifedeco.vn/y-tuong-moi-cho-can-ho-chung-cu-an-tuong/	GET	http://lifedeco.vn/wp-content/themes/lifedeco/assets/css/shortcodes.css?ver=5.1.3
2018-06-05T01:03:54+07:00 ERR (3): error-router-no-match	66.249.77.24	Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	http://lifedeco.vn/y-tuong-moi-cho-can-ho-chung-cu-an-tuong/	GET	http://lifedeco.vn/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1
2018-06-05T01:44:27+07:00 ERR (3): error-router-no-match	66.249.77.23	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)		GET	http://lifedeco.vn/2017/06/11/
2018-06-05T02:05:28+07:00 ERR (3): error-router-no-match	123.30.175.212	Mozilla/5.0 (compatible; coccocbot-web/1.0; +http://help.coccoc.com/searchengine)		GET	http://lifedeco.vn/robots.txt
2018-06-05T02:05:36+07:00 ERR (3): error-router-no-match	123.30.175.209	Mozilla/5.0 (compatible; coccocbot-web/1.0; +http://help.coccoc.com/searchengine)		GET	http://lifedeco.vn/san-pham/
2018-06-05T02:12:53+07:00 ERR (3): error-router-no-match	66.249.79.94	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)		GET	http://lifedeco.vn/category/can-ho-chung-cu/
2018-06-05T02:22:49+07:00 ERR (3): error-router-no-match	66.249.77.22	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)		GET	http://lifedeco.vn/thiet-ke-noi-that-can-ho-chung-cu-gia-re/
2018-06-05T02:47:25+07:00 ERR (3): error-router-no-match	5.196.87.110	Mozilla/5.0 (compatible; AhrefsBot/5.2; +http://ahrefs.com/robot/)		GET	http://lifedeco.vn/robots.txt
2018-06-05T02:47:27+07:00 ERR (3): error-router-no-match	54.36.150.76	Mozilla/5.0 (compatible; AhrefsBot/5.2; +http://ahrefs.com/robot/)		GET	http://lifedeco.vn/san-pham
