2018-06-09T00:14:43+07:00 ERR (3): error-router-no-match	95.163.255.99	Mozilla/5.0 (compatible; Linux x86_64; Mail.RU_Bot/2.0; +http://go.mail.ru/help/robots)		GET	http://lifedeco.vn/robots.txt
2018-06-09T00:39:26+07:00 ERR (3): error-router-no-match	66.249.77.23	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)		GET	http://lifedeco.vn/robots.txt
2018-06-09T00:39:26+07:00 ERR (3): error-router-no-match	66.249.77.23	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)		GET	http://lifedeco.vn/wp-content/plugins/revslider/public/assets/js/
2018-06-09T01:31:46+07:00 ERR (3): error-router-no-match	123.30.175.137	Mozilla/5.0 (compatible; coccocbot-web/1.0; +http://help.coccoc.com/searchengine)		GET	http://lifedeco.vn/robots.txt
2018-06-09T01:31:54+07:00 ERR (3): error-router-no-match	123.30.175.138	Mozilla/5.0 (compatible; coccocbot-web/1.0; +http://help.coccoc.com/searchengine)		GET	http://lifedeco.vn/nha-pho-khu-dan-cu-phong-phu-5/
2018-06-09T01:33:55+07:00 ERR (3): error-router-no-match	123.30.175.211	Mozilla/5.0 (compatible; coccocbot-web/1.0; +http://help.coccoc.com/searchengine)		GET	http://lifedeco.vn/showroom-van-phong/
2018-06-09T02:03:05+07:00 ERR (3): error-router-no-match	66.249.77.24	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)		GET	http://lifedeco.vn/San-pham.html
2018-06-09T03:05:27+07:00 ERR (3): error-router-no-match	66.249.77.23	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)		GET	http://lifedeco.vn/Showroom/Du-an-showroom-43-TL.html
2018-06-09T03:53:33+07:00 ERR (3): error-router-no-match	66.249.77.24	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)		GET	http://lifedeco.vn/Nha-hang/Hinh-anh-nha-hang-dep-42-TL.html
2018-06-09T04:43:23+07:00 ERR (3): error-router-no-match	66.249.77.22	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)		GET	http://lifedeco.vn/nhung-luu-y-khi-su-dung-cac-loai-vat-lieu-trong-xay-dung/feed/
2018-06-09T05:16:40+07:00 ERR (3): error-router-no-match	216.244.66.234	Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)		GET	http://lifedeco.vn/robots.txt
2018-06-09T05:18:09+07:00 ERR (3): error-router-no-match	216.244.66.234	Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)		GET	http://lifedeco.vn/Thiet-ke-xay-dung/Xay-dung-nha-pho-19-TL.html?Xaydung=1
2018-06-09T05:19:09+07:00 ERR (3): error-router-no-match	54.36.148.251	Mozilla/5.0 (compatible; AhrefsBot/5.2; +http://ahrefs.com/robot/)		GET	http://lifedeco.vn/category/san-pham-noi-bat/
2018-06-09T05:24:33+07:00 ERR (3): error-router-no-match	66.249.77.22	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)		GET	http://lifedeco.vn/Bar---cafe---karaoke/Du-an-Bar-cafe-karaoke-39-TL.html
2018-06-09T06:26:56+07:00 ERR (3): error-router-no-match	216.244.66.234	Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)		GET	http://lifedeco.vn/robots.txt
2018-06-09T06:28:00+07:00 ERR (3): error-router-no-match	216.244.66.234	Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)		GET	http://lifedeco.vn/mau-thiet-ke-can-ho-chung-cu-an-tuong
2018-06-09T07:17:57+07:00 ERR (3): error-router-no-match	27.74.238.208	Mozilla/5.0 (iPhone; CPU iPhone OS 11_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15F79 [FBAN/FBIOS;FBAV/175.0.0.47.102;FBBV/112197024;FBDV/iPhone9,3;FBMD/iPhone;FBSN/iOS;FBSV/11.4;FBSS/2;FBCR/Viettel;FBID/phone;FBLC/vi_VN;FBOP/5;FBRV/0]	http://www.lifedeco.vn/	GET	http://www.lifedeco.vn/css/font-style-2.css
2018-06-09T07:18:29+07:00 ERR (3): error-router-no-match	27.74.238.208	Mozilla/5.0 (iPhone; CPU iPhone OS 11_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15F79 [FBAN/FBIOS;FBAV/175.0.0.47.102;FBBV/112197024;FBDV/iPhone9,3;FBMD/iPhone;FBSN/iOS;FBSV/11.4;FBSS/2;FBCR/Viettel;FBID/phone;FBLC/vi_VN;FBOP/5;FBRV/0]	http://www.lifedeco.vn/noi-that-pca-5	GET	http://www.lifedeco.vn/css/font-style-2.css
2018-06-09T07:18:41+07:00 ERR (3): error-router-no-match	27.74.238.208	Mozilla/5.0 (iPhone; CPU iPhone OS 11_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15F79 [FBAN/FBIOS;FBAV/175.0.0.47.102;FBBV/112197024;FBDV/iPhone9,3;FBMD/iPhone;FBSN/iOS;FBSV/11.4;FBSS/2;FBCR/Viettel;FBID/phone;FBLC/vi_VN;FBOP/5;FBRV/0]	http://www.lifedeco.vn/	GET	http://www.lifedeco.vn/css/font-style-2.css
2018-06-09T07:18:48+07:00 ERR (3): error-router-no-match	27.74.238.208	Mozilla/5.0 (iPhone; CPU iPhone OS 11_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15F79 [FBAN/FBIOS;FBAV/175.0.0.47.102;FBBV/112197024;FBDV/iPhone9,3;FBMD/iPhone;FBSN/iOS;FBSV/11.4;FBSS/2;FBCR/Viettel;FBID/phone;FBLC/vi_VN;FBOP/5;FBRV/0]	http://www.lifedeco.vn/thiet-ke-thi-cong-pca-4	GET	http://www.lifedeco.vn/css/font-style-2.css
2018-06-09T07:19:09+07:00 ERR (3): error-router-no-match	27.74.238.208	Mozilla/5.0 (iPhone; CPU iPhone OS 11_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15F79 [FBAN/FBIOS;FBAV/175.0.0.47.102;FBBV/112197024;FBDV/iPhone9,3;FBMD/iPhone;FBSN/iOS;FBSV/11.4;FBSS/2;FBCR/Viettel;FBID/phone;FBLC/vi_VN;FBOP/5;FBRV/0]	http://www.lifedeco.vn/can-ho-chung-cu-novaland-sunrise-city-quan-7-pd-26	GET	http://www.lifedeco.vn/css/font-style-2.css
2018-06-09T07:38:08+07:00 ERR (3): error-router-no-match	216.244.66.234	Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)		GET	http://lifedeco.vn/robots.txt
2018-06-09T07:39:08+07:00 ERR (3): error-router-no-match	216.244.66.234	Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)		GET	http://lifedeco.vn/Bar---cafe---karaoke/Du-an-Bar-cafe-karaoke-39-TL.html
2018-06-09T08:26:00+07:00 ERR (3): error-router-no-match	216.244.66.234	Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)		GET	http://lifedeco.vn/robots.txt
2018-06-09T08:27:02+07:00 ERR (3): error-router-no-match	216.244.66.234	Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)		GET	http://lifedeco.vn/Tin-tuc/Nha-pho-dep-31.html
2018-06-09T09:52:40+07:00 ERR (3): error-router-no-match	77.75.78.167	Mozilla/5.0 (compatible; SeznamBot/3.2; +http://napoveda.seznam.cz/en/seznambot-intro/)		GET	http://lifedeco.vn/robots.txt
2018-06-09T09:53:35+07:00 ERR (3): error-router-no-match	66.249.71.159	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)		GET	http://lifedeco.vn/category/can-ho-chung-cu/feed/
2018-06-09T10:12:38+07:00 ERR (3): error-router-no-match	207.46.13.212	Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)		GET	http://lifedeco.vn/Shop/
2018-06-09T10:12:38+07:00 ERR (3): error-router-no-match	207.46.13.212	Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)		GET	http://lifedeco.vn/gioi-thieu/
2018-06-09T10:21:40+07:00 ERR (3): error-router-no-match	157.55.39.36	Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)		GET	http://lifedeco.vn/8-nguyen-tac-phong-thuy-de-chon-can-ho-chung-cu-n-20
2018-06-09T11:36:19+07:00 ERR (3): error-router-no-match	77.75.78.168	Mozilla/5.0 (compatible; SeznamBot/3.2; +http://napoveda.seznam.cz/en/seznambot-intro/)		GET	http://lifedeco.vn/robots.txt
2018-06-09T13:47:17+07:00 ERR (3): error-router-no-match	123.30.175.138	Mozilla/5.0 (compatible; coccocbot-web/1.0; +http://help.coccoc.com/searchengine)		GET	http://lifedeco.vn/robots.txt
